town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,KF,L,MHL,MRZ,PA,SHS,OTHER
584,718,478,0,478,56,0,2,16,3,19,59,115,204,3,1
585,504,388,1,387,19,1,0,217,20,0,65,2,49,11,3
586,629,466,1,465,53,0,1,5,2,11,43,79,268,2,1
587,3816,2537,9,2528,98,18,14,66,9,158,475,217,1453,16,4
588,897,716,0,716,5,56,3,239,77,4,224,3,29,65,11
589,293,226,0,226,19,0,3,6,3,12,44,15,114,4,6
590,340,234,1,233,51,1,0,4,2,11,21,26,114,1,2
591,891,686,0,686,51,1,1,15,2,22,85,73,425,5,6
592,468,394,1,393,13,1,0,229,19,2,75,0,44,8,2
593,677,531,5,526,36,1,1,14,5,12,105,37,249,5,61
594,514,415,0,415,9,10,0,213,29,3,75,2,23,28,23
595,537,416,1,415,81,0,0,5,1,9,36,48,232,1,2
596,407,260,3,257,61,1,1,5,0,10,15,32,128,3,1
597,588,423,1,422,89,0,1,3,2,6,33,88,189,3,8
598,670,554,1,553,89,0,1,10,2,30,58,95,261,5,2
599,438,306,4,302,51,0,1,10,1,10,26,34,166,2,1
602,378,277,3,274,45,0,1,5,3,4,9,90,112,2,3
603,258,170,0,170,30,0,0,1,7,4,75,3,18,25,7
604,730,581,5,576,19,8,1,36,18,12,290,8,106,52,26
605,334,244,2,242,6,11,0,31,24,1,101,6,16,42,4
606,794,610,2,608,50,1,1,8,0,23,55,51,348,0,71
607,443,261,0,261,3,61,0,79,29,0,42,1,6,37,3
609,579,408,2,406,27,10,0,16,17,2,192,4,46,90,2
610,808,622,0,622,52,3,1,22,4,21,71,54,367,4,23
612,702,534,1,533,39,30,1,23,15,27,182,16,152,22,26
613,655,472,1,471,37,1,0,14,2,26,59,52,272,2,6
614,301,201,0,201,25,0,0,5,3,4,111,0,28,9,16
615,1155,899,2,897,67,2,0,16,4,44,58,93,565,2,46
616,703,543,1,542,51,4,0,22,2,12,158,29,221,12,31
617,513,336,2,334,49,0,4,6,0,2,4,135,131,1,2
618,604,483,0,483,18,10,0,38,35,2,224,8,74,45,29
619,288,225,1,224,44,0,2,4,0,0,9,34,130,0,1
620,465,375,2,373,9,3,0,256,5,6,34,8,49,1,2
622,450,363,0,363,15,6,0,203,14,4,42,7,68,4,0
623,360,213,1,212,52,0,0,1,0,1,5,37,115,0,1
627,6295,4714,39,4675,155,0,4071,6,3,2,19,322,79,6,12
628,8058,4098,37,4061,14,1,3791,6,1,3,17,130,60,6,32
633,2316,1605,13,1592,11,0,1358,0,0,1,10,127,30,25,30
634,14908,10482,119,10363,83,14,6999,11,3,2,49,2689,229,10,274
635,2545,1273,12,1261,19,0,1122,0,0,3,3,20,25,1,68
636,1213,631,4,627,0,0,605,0,0,0,1,6,7,0,8
637,13144,7377,57,7320,21,0,6878,7,5,4,67,141,106,5,86
638,14182,9296,49,9247,54,0,8833,12,2,3,34,125,114,6,64
648,430,315,1,314,35,0,0,0,0,3,8,158,109,0,1
649,1303,739,7,732,84,1,586,2,0,0,3,43,10,1,2
652,1795,909,10,899,10,0,762,2,2,0,5,12,84,10,12
654,12760,8230,50,8180,48,2,7417,3,2,8,131,276,115,50,128
658,1968,1374,12,1362,1,0,1237,0,0,1,7,92,12,2,10
661,1226,935,8,927,55,10,1,31,8,27,284,42,346,50,73
662,721,539,4,535,25,3,0,20,17,33,277,12,94,41,13
663,786,620,1,619,19,18,0,216,17,2,220,3,33,36,55
664,405,310,0,310,17,5,0,41,3,1,167,4,50,14,8
665,485,415,3,412,14,4,0,168,20,1,122,4,65,11,3
666,6401,4642,18,4624,438,22,37,225,23,201,1181,352,2102,29,14
667,507,367,1,366,36,1,2,1,0,7,9,145,160,2,3
668,668,480,3,477,89,0,1,16,0,17,28,54,267,1,4
670,402,354,0,354,28,0,1,9,2,19,90,16,147,4,38
672,474,368,0,368,27,2,1,15,5,16,91,42,132,18,19
673,578,466,1,465,32,1,1,11,8,21,99,27,181,6,78
674,547,396,0,396,31,1,0,19,4,21,115,8,187,5,5
675,299,201,0,201,22,0,0,1,0,4,16,40,118,0,0
676,292,180,1,179,32,0,2,3,0,15,15,8,102,1,1
677,707,528,3,525,58,1,3,15,4,14,49,66,305,7,3
678,321,222,1,221,26,0,0,6,3,10,28,25,122,1,0
679,520,399,0,399,29,2,3,9,2,8,76,68,183,3,16
680,512,399,0,399,43,0,0,7,2,7,48,38,237,3,14
681,18078,13720,51,13669,551,272,30,4250,431,405,3397,384,3174,729,46
682,589,425,5,420,16,17,0,29,21,7,215,0,34,80,1
683,728,574,3,571,55,3,0,14,0,13,125,33,287,9,32
684,562,431,3,428,52,0,2,12,1,12,20,28,287,5,9
685,627,519,1,518,45,1,0,18,4,9,81,30,263,5,62
686,1019,763,4,759,39,5,0,35,15,20,289,15,176,43,122
687,747,566,1,565,43,3,0,10,1,18,64,92,324,3,7
688,578,441,2,439,3,1,0,25,35,0,286,1,13,56,19
689,794,613,0,613,30,4,0,24,3,17,185,25,272,26,27
690,534,421,1,420,16,7,0,22,6,10,116,9,200,9,25
692,537,439,3,436,28,4,1,76,21,10,152,7,95,22,20
693,458,349,0,349,79,0,3,0,2,12,9,61,177,0,6
694,1690,1140,9,1131,198,1,1,15,6,25,29,248,600,1,7
695,466,332,2,330,40,0,3,0,0,10,8,140,126,0,3
696,4136,2799,4,2795,5,1064,0,312,614,8,527,5,10,249,1
697,711,539,0,539,33,3,1,18,1,24,47,41,318,1,52
698,791,608,1,607,22,1,0,19,1,17,102,49,314,10,72
699,593,469,2,467,33,1,1,26,1,17,82,27,233,8,38
700,859,659,4,655,34,6,0,35,17,12,244,11,174,30,92
701,443,340,0,340,39,2,0,11,9,11,122,15,116,5,10
702,152,92,1,91,27,3,1,3,0,4,12,3,32,4,2
703,406,272,1,271,40,1,1,9,0,10,20,53,136,0,1
705,348,249,1,248,24,0,0,1,0,11,15,89,106,0,2
706,559,447,0,447,52,1,0,18,3,13,89,22,212,2,35
707,488,369,0,369,36,3,0,8,1,9,37,46,222,0,7
708,566,424,2,422,14,22,0,36,11,0,260,3,42,31,3
709,1004,877,5,872,0,683,0,7,6,2,45,1,7,121,0
710,1179,871,1,870,96,12,5,39,8,30,139,159,351,11,20
711,779,620,1,619,15,4,0,12,17,8,329,4,80,61,89
712,554,416,2,414,29,8,2,15,4,21,86,35,200,6,8
713,362,255,1,254,76,0,0,2,0,7,6,31,131,0,1
714,417,310,1,309,80,0,0,4,2,8,15,41,155,1,3
715,600,466,3,463,49,2,3,4,0,8,17,97,280,0,3
716,390,307,2,305,76,0,0,4,0,4,13,32,174,0,2
717,714,579,2,577,34,2,0,21,10,14,93,37,259,12,95
718,793,590,3,587,18,7,0,35,6,13,306,12,142,27,21
719,309,227,2,225,43,0,0,1,1,14,28,15,119,2,2
720,627,524,0,524,17,7,1,288,31,2,120,2,26,23,7
721,379,296,1,295,5,5,0,148,8,0,80,1,38,7,3
722,676,528,1,527,41,2,0,4,4,18,87,44,319,0,8
723,573,457,0,457,10,10,0,42,45,1,297,1,6,37,8
726,496,331,3,328,26,0,0,14,5,7,168,2,58,28,20
727,618,457,4,453,27,0,0,22,3,6,106,11,217,17,44
729,692,529,1,528,49,1,1,13,3,30,140,18,255,4,14
730,460,334,0,334,16,2,0,13,10,0,235,0,32,25,1
731,477,394,1,393,25,5,3,10,0,15,50,37,225,0,23
732,550,395,3,392,34,4,0,15,11,17,188,14,94,11,4
734,631,476,0,476,36,0,0,17,0,14,45,59,289,2,14
735,560,398,2,396,33,0,0,24,7,14,71,35,198,6,8
736,1010,762,1,761,64,6,0,36,36,19,412,2,135,29,22
737,758,586,1,585,48,6,1,30,3,12,71,38,277,7,92
738,276,225,2,223,13,1,0,4,0,10,46,9,126,1,13
739,979,817,2,815,8,7,0,11,9,4,201,1,34,65,475
740,745,592,4,588,17,15,1,33,17,8,262,26,76,89,44
741,475,350,0,350,24,3,3,8,4,7,66,44,118,7,66
742,687,569,4,565,66,2,1,21,6,12,66,59,193,18,121
743,587,495,4,491,45,0,2,10,3,14,71,56,247,3,40
744,491,359,0,359,37,0,1,29,4,17,83,16,165,0,7
745,676,551,0,551,15,16,0,314,40,3,108,9,22,23,1
746,758,628,0,628,3,46,0,69,59,4,260,1,10,108,68
747,572,433,4,429,6,5,0,8,7,7,141,3,19,55,178
748,487,364,1,363,23,2,0,19,13,14,149,9,91,20,23
749,656,556,2,554,25,3,0,14,9,2,244,0,44,126,87
750,332,240,0,240,10,9,0,28,15,6,100,0,29,20,23
751,377,258,1,257,8,25,0,75,17,1,76,1,10,26,18
752,431,354,2,352,18,1,0,30,13,3,108,17,63,37,62
753,620,476,2,474,58,16,1,24,5,17,139,26,169,7,12
755,344,252,1,251,19,1,0,3,6,1,142,1,22,47,9
756,833,659,0,659,62,3,0,15,7,18,152,4,191,37,170
757,978,729,7,722,52,1,0,16,18,33,326,4,142,47,83
758,568,460,1,459,22,0,6,6,9,29,63,48,273,2,1
759,583,425,2,423,16,6,0,12,10,2,243,9,59,35,31
760,598,495,1,494,4,3,0,27,12,6,210,2,17,97,116
761,428,331,0,331,4,10,1,62,32,1,185,0,10,22,4
762,618,504,2,502,20,10,0,49,24,1,267,2,29,88,12
763,1403,1066,4,1062,68,12,1,52,36,46,497,5,205,48,92
764,463,373,0,373,22,2,0,5,1,9,23,44,249,1,17
765,497,389,2,387,18,1,1,11,4,14,48,38,204,0,48
766,242,141,1,140,0,136,0,0,2,0,0,0,0,2,0
767,906,647,7,640,2,7,0,34,18,10,350,3,39,124,53
768,449,320,0,320,45,0,2,10,1,11,50,65,134,0,2
769,410,290,3,287,16,5,3,143,14,1,41,2,53,5,4
771,610,446,0,446,41,1,1,39,6,24,155,30,142,1,6
772,714,541,0,541,29,0,0,12,6,24,139,8,168,49,106
773,520,404,0,404,26,0,4,4,1,16,52,62,192,2,45
774,288,213,1,212,45,0,0,9,12,3,95,1,13,15,19
775,420,322,0,322,31,1,0,8,1,15,50,8,188,5,15
776,319,260,0,260,6,7,0,18,12,2,132,0,20,54,9
777,462,351,1,350,26,0,7,2,0,6,18,159,132,0,0
778,565,452,0,452,17,9,0,85,12,2,202,4,35,48,38
779,641,470,0,470,27,2,3,36,3,19,130,45,112,10,83
780,847,629,0,629,26,6,0,26,17,16,187,23,166,56,106
783,495,363,2,361,12,0,1,8,7,5,111,8,46,13,150
784,623,498,0,498,41,3,2,11,5,15,119,31,155,2,114
785,658,515,1,514,3,12,0,45,31,4,308,3,35,66,7
786,481,356,3,353,9,7,0,31,14,6,216,0,33,32,5
787,937,714,1,713,49,8,1,51,17,14,194,73,147,37,122
788,825,646,2,644,32,3,0,28,14,4,391,4,74,86,8
789,433,301,1,300,32,0,1,17,5,13,121,0,91,2,18
791,701,549,0,549,12,6,1,33,9,9,261,2,53,50,113
792,405,305,0,305,33,2,0,8,1,4,105,2,125,20,5
793,644,487,1,486,16,4,0,12,8,8,160,0,68,44,166
794,298,234,1,233,4,10,1,7,5,2,156,7,16,23,2
795,556,394,0,394,22,3,1,9,4,12,169,3,61,107,3
796,671,498,3,495,22,1,0,24,25,9,238,11,75,30,60
797,1154,998,1,997,4,36,0,85,25,0,370,0,17,456,4
798,616,496,1,495,28,10,0,10,4,4,307,1,62,56,13
799,769,580,1,579,11,3,0,19,15,6,371,1,54,51,48
800,616,476,0,476,29,1,3,8,5,21,53,42,307,4,3
801,561,466,1,465,11,27,0,212,31,1,86,4,50,30,13
802,661,504,1,503,20,8,0,23,18,13,156,11,103,23,128
803,334,265,1,264,3,3,0,29,23,1,93,0,9,102,1
804,870,685,2,683,25,2,0,14,40,3,395,0,25,171,8
805,548,429,1,428,10,24,0,46,14,3,213,0,10,103,5
806,528,400,0,400,45,0,4,3,1,5,17,36,274,0,15
807,657,488,2,486,42,0,3,4,1,19,55,63,290,0,9
808,419,309,1,308,67,0,1,2,0,8,16,49,164,0,1
809,413,328,3,325,12,11,0,41,17,3,179,5,16,37,4
810,400,312,1,311,36,3,1,10,4,7,74,45,122,1,8
811,470,371,0,371,22,1,0,24,16,4,227,2,29,38,8
812,5093,3399,25,3374,144,34,5,155,74,428,1509,27,585,385,28
813,698,550,1,549,73,2,1,43,34,25,203,12,101,42,13
814,572,450,1,449,9,21,2,36,59,0,202,0,21,91,8
815,412,350,1,349,1,16,0,20,11,0,197,0,7,93,4
816,399,298,1,297,8,8,0,19,9,4,158,3,13,49,26
817,936,756,3,753,35,2,0,18,15,11,338,2,100,47,185
818,483,407,0,407,5,9,0,43,25,0,190,0,10,102,23
819,628,489,1,488,54,0,0,27,1,7,36,35,277,7,44
820,353,245,1,244,16,2,0,18,7,4,133,2,16,28,18
821,397,295,0,295,8,0,0,7,8,2,183,2,15,57,13
822,538,393,0,393,41,3,5,24,3,10,147,56,83,7,14
823,410,299,1,298,14,3,2,15,10,3,146,20,43,21,21
824,702,512,1,511,86,1,0,11,2,13,71,28,290,2,7
825,774,587,0,587,24,2,4,35,15,6,184,22,163,15,117
826,367,284,0,284,2,15,0,27,7,2,136,0,7,85,3
827,458,373,1,372,33,0,1,9,2,5,38,31,188,4,61
828,730,549,2,547,13,0,0,20,6,7,179,11,124,42,145
829,385,247,0,247,11,1,0,11,14,4,106,0,25,24,51
831,7328,4854,56,4798,220,333,77,540,93,331,2001,45,506,620,32
833,106,87,0,87,1,0,0,8,6,5,27,8,31,1,0
836,342,267,0,267,20,4,0,9,3,10,65,17,123,6,10
837,597,486,2,484,10,10,0,64,23,5,271,1,46,37,17
838,589,469,2,467,17,0,0,16,8,7,239,10,76,27,67
839,612,480,2,478,20,2,0,11,10,7,177,8,102,32,109
840,289,147,1,146,61,0,1,3,2,5,10,14,47,1,2
841,813,631,1,630,27,3,2,24,5,12,221,11,160,50,115
842,658,516,0,516,53,1,0,8,1,11,22,164,253,1,2
843,335,197,0,197,54,2,0,8,7,4,57,6,43,9,7
844,345,236,3,233,69,0,0,3,0,9,13,22,113,1,3
845,715,501,0,501,93,0,2,10,3,16,21,65,288,1,2
846,319,228,0,228,0,16,1,13,7,4,123,5,37,20,2
848,341,254,1,253,0,8,0,133,36,0,41,0,1,34,0
849,654,513,1,512,60,1,0,15,2,19,29,108,275,0,3
850,708,547,0,547,20,1,0,16,1,2,118,15,181,24,169
851,736,571,0,571,48,2,3,13,2,9,134,23,198,9,130
852,338,229,2,227,37,0,0,7,1,7,13,36,124,1,1
853,840,635,1,634,42,1,1,19,7,35,109,40,375,3,2
854,324,233,0,233,5,0,0,14,4,2,171,0,11,24,2
856,739,639,0,639,5,39,0,445,53,1,59,2,13,20,2
857,532,407,0,407,37,5,1,6,4,20,58,33,204,7,32
858,842,667,2,665,52,2,1,14,4,27,71,44,393,2,55
859,278,198,1,197,8,5,0,5,5,3,89,8,13,41,20
861,633,465,0,465,41,5,0,23,11,22,125,20,204,5,9
862,532,404,1,403,14,0,0,6,6,15,116,10,169,13,54
863,657,522,2,520,45,1,0,12,4,20,89,36,232,14,67
864,535,433,1,432,37,2,0,27,31,10,184,8,88,22,23
865,259,195,2,193,4,1,0,27,14,4,111,1,13,15,3
866,671,415,1,414,101,1,3,1,1,8,13,68,214,1,3
868,127,28,0,28,2,0,0,3,0,2,4,4,13,0,0
870,495,387,0,387,76,1,0,5,2,9,35,36,219,3,1
871,561,456,1,455,82,0,0,3,1,6,29,86,243,1,4
872,262,206,0,206,7,1,21,20,6,7,94,3,41,3,3
873,373,295,1,294,0,5,0,17,10,8,176,0,8,60,10
874,21214,13504,117,13387,458,416,9,423,289,2507,5232,78,1781,2120,74
877,607,474,4,470,59,0,3,3,0,4,4,91,301,0,5
880,1099,831,1,830,62,15,1,36,10,20,222,63,368,26,7
885,408,270,0,270,68,0,1,5,1,7,6,45,134,0,3
888,581,468,0,468,44,0,1,19,1,14,65,36,264,3,21
889,215,161,0,161,1,3,0,38,3,10,49,2,47,5,3
892,520,375,2,373,34,4,0,8,11,8,187,2,45,57,17
913,4122,2338,12,2326,146,0,1659,6,4,57,11,62,321,9,51
916,280,210,5,205,23,1,0,2,0,10,60,11,78,1,19
917,888,671,1,670,78,0,3,13,1,16,39,126,389,3,2
919,507,387,0,387,56,0,4,8,6,10,38,68,135,9,53
921,131,12,1,11,0,0,0,0,0,0,2,0,7,2,0
922,6202,5303,32,5271,34,2320,0,51,67,39,354,4,92,2305,5
939,7186,4410,36,4374,8,0,4253,3,4,2,4,15,50,7,28
942,146,66,0,66,3,0,56,0,0,0,0,3,4,0,0
944,5290,2494,40,2454,60,12,1709,5,3,18,26,131,337,89,64
956,1101,388,5,383,65,0,257,0,0,0,5,12,34,0,10
957,283,143,2,141,3,0,114,0,0,0,0,13,10,0,1
958,139,47,1,46,0,0,45,0,0,0,0,0,1,0,0
960,488,108,3,105,5,0,81,0,0,0,4,5,9,0,1
961,4765,1924,16,1908,1,0,1817,1,0,1,6,13,53,5,11
962,4435,1960,36,1924,26,30,1053,8,8,2,35,41,522,20,179
963,4575,1894,17,1877,2,1,1810,1,0,0,11,11,17,5,19
964,1333,406,10,396,16,0,307,1,1,2,6,2,49,0,12
965,1529,474,4,470,0,0,370,0,1,5,2,4,69,3,16
966,3984,1471,24,1447,12,2,1272,2,4,0,12,14,86,4,39
967,1961,542,9,533,3,1,498,0,0,0,3,0,22,0,6
968,2979,1222,13,1209,15,0,1091,2,0,2,10,6,60,5,18
969,112,44,0,44,0,0,40,0,0,0,0,0,4,0,0
970,511,33,0,33,0,0,25,0,0,0,2,0,6,0,0
972,475,94,0,94,1,0,86,0,0,0,3,0,1,0,3
975,5299,2584,26,2558,178,3,1092,3,7,4,83,199,897,17,75
976,461,207,1,206,2,0,154,7,2,1,3,2,25,1,9
978,3633,2067,16,2051,238,2,982,2,1,2,64,218,322,186,34
990,401,239,2,237,1,0,212,0,1,0,0,6,14,0,3
993,1156,563,2,561,13,0,432,1,1,2,7,7,90,2,6
994,842,514,1,513,14,0,370,0,0,0,1,11,107,5,5
997,1354,588,6,582,12,0,208,3,0,6,29,35,224,51,14
998,6368,3078,31,3047,121,1,1905,3,3,73,63,205,584,27,62
1015,18914,13582,43,13539,1018,88,33,779,320,520,4663,1134,4195,733,56
1020,15712,9856,63,9793,232,131,11,344,196,1246,5129,66,1349,1055,34
1024,577,442,0,442,20,5,1,14,2,7,131,44,191,16,11
1031,20231,12987,123,12864,1073,190,14,1338,626,1580,5427,80,1133,1331,72
1034,17042,11547,82,11465,419,1007,7,810,722,281,4691,25,1377,1955,171
1041,320,150,0,150,1,0,115,0,1,0,0,0,32,1,0
1043,145,115,0,115,15,1,0,8,0,2,42,15,29,1,2
1044,165,139,0,139,14,1,2,4,1,3,24,19,67,2,2
1045,226,150,0,150,13,3,1,21,8,2,65,1,26,8,2
1046,257,173,0,173,13,0,2,15,2,5,57,5,63,4,7
1047,255,211,0,211,3,9,0,16,4,3,130,2,11,28,5
1050,1488,1135,2,1133,84,1,0,37,14,48,351,49,513,15,21
1051,221,130,0,130,9,3,0,7,3,3,52,1,32,12,8
1052,437,234,1,233,35,0,3,3,0,16,4,61,107,1,3
1054,9478,5200,40,5160,13,0,4922,11,4,4,32,37,88,11,38
1057,56,35,0,35,3,0,2,3,4,0,9,2,10,1,1
1058,366,216,1,215,32,0,3,11,1,7,11,38,102,1,9
1059,8298,4865,50,4815,29,2,4185,19,4,2,42,82,309,58,83
1060,7465,3453,27,3426,64,0,3156,5,2,2,22,24,70,7,74
1061,39435,22195,292,21903,539,435,4819,399,332,4968,6567,307,2746,543,248
1063,18132,11339,97,11242,284,105,2299,650,186,2340,3253,184,1164,697,80
1064,606,409,1,408,44,2,5,44,4,6,34,86,170,3,10
1065,367,334,1,333,9,12,0,55,34,4,174,0,9,34,2
1066,5751,3808,51,3757,106,64,2,156,106,1075,1295,21,588,304,40
1067,359,249,0,249,16,0,1,6,3,0,174,1,17,26,5
1068,357,198,0,198,23,0,5,4,3,16,28,47,67,1,4
1069,647,501,2,499,61,1,1,12,2,12,41,49,318,0,2
1070,562,441,0,441,25,0,5,31,12,28,144,27,120,15,34
1071,463,360,1,359,11,14,1,36,16,6,164,5,26,45,35
1072,346,277,0,277,28,0,0,13,0,10,81,8,116,3,18
1077,212,166,0,166,9,0,2,9,0,2,10,17,116,1,0
1079,305,217,0,217,16,1,4,4,6,4,37,18,51,18,58
1080,919,641,4,637,81,5,0,24,16,23,301,4,138,35,10
1081,288,200,5,195,30,1,0,8,0,3,97,3,24,22,7
1082,1060,849,0,849,14,17,0,151,87,5,423,1,16,129,6
1083,317,247,0,247,0,4,0,143,33,1,55,0,3,8,0
1084,233,164,0,164,28,0,2,1,0,6,24,20,81,2,0
1085,136,69,2,67,8,2,0,14,3,3,13,4,19,0,1
1094,157,139,0,139,1,26,0,92,12,0,1,0,0,7,0
1095,423,345,0,345,5,2,0,206,21,0,87,1,20,2,1
1098,1403,1136,2,1134,15,24,0,604,86,3,254,2,36,107,3
1102,162,114,0,114,6,1,0,1,1,2,12,22,62,5,2
1103,256,203,1,202,22,1,0,11,3,8,27,27,101,0,2
1104,266,174,0,174,4,4,0,9,2,1,110,0,30,10,4
1105,995,685,1,684,31,7,1,41,24,22,421,7,82,37,11
1108,355,221,0,221,7,4,0,9,4,40,114,0,32,11,0
1110,345,250,0,250,15,2,0,7,6,20,131,4,51,13,1
1112,602,464,2,462,52,0,4,6,1,8,8,173,209,0,1
1113,5748,4371,11,4360,317,24,22,479,65,313,1227,362,1465,65,21
1114,823,587,1,586,68,0,5,20,3,16,79,122,266,4,3
1115,327,234,0,234,5,8,0,3,11,1,148,0,2,53,3
1123,555,396,0,396,15,1,0,59,4,3,184,10,39,35,46
1124,214,149,0,149,25,1,0,3,0,0,23,12,78,0,7
1125,289,234,0,234,16,0,2,3,3,5,8,36,161,0,0
1126,251,164,0,164,31,0,1,0,0,2,16,28,85,0,1
1127,355,290,0,290,49,0,1,131,2,1,34,3,67,2,0
1128,256,205,0,205,34,1,2,3,0,3,5,53,101,0,3
1129,289,177,0,177,37,0,1,1,0,2,14,21,100,1,0
1130,221,138,0,138,11,1,0,4,1,6,76,4,25,10,0
1132,426,306,0,306,46,0,1,3,0,11,22,45,175,1,2
1133,218,154,1,153,11,1,0,10,3,5,46,15,41,15,6
1134,162,122,0,122,8,0,0,5,0,30,24,1,49,0,5
1136,440,297,1,296,22,0,0,14,7,7,122,14,80,16,14
1137,3283,2554,17,2537,12,1782,0,57,74,0,97,2,17,492,4
1138,556,405,0,405,47,1,3,3,0,10,10,131,199,0,1
1139,41395,24549,233,24316,955,780,348,839,206,5782,7569,443,6490,740,164
1140,1142,817,4,813,127,1,4,32,4,16,74,232,317,1,5
1141,189,107,1,106,1,17,0,37,7,0,20,1,8,11,4
1143,227,187,0,187,10,0,5,2,2,9,30,19,109,0,1
1145,322,278,1,277,0,81,0,6,2,0,11,0,0,175,2
1146,349,264,1,263,15,3,0,160,3,2,46,3,28,1,2
1147,242,183,1,182,11,0,0,6,7,5,78,3,35,25,12
1148,228,169,1,168,12,0,0,2,1,12,51,12,73,0,5
1149,636,491,2,489,44,0,0,23,4,19,120,15,199,27,38
1150,341,246,0,246,13,0,1,3,0,10,7,22,163,0,27
1151,366,260,0,260,38,0,0,2,0,8,9,26,171,0,6
1152,390,284,4,280,30,0,0,29,6,14,69,18,109,2,3
1153,122,96,0,96,11,1,0,0,2,0,10,10,60,1,1
1155,384,308,0,308,13,1,0,16,8,11,164,6,75,9,5
1156,227,149,1,148,15,0,4,0,0,3,1,64,60,0,1
1157,188,146,0,146,10,2,0,3,0,8,24,10,84,3,2
1158,218,128,0,128,16,0,1,1,0,9,16,17,63,1,4
1160,613,479,0,479,64,0,3,15,3,25,22,78,265,2,2
1161,33204,19770,197,19573,454,11,15584,123,18,11,160,765,1272,131,1044
1162,388,326,1,325,13,3,1,236,23,1,27,3,16,1,1
1163,337,257,2,255,26,0,0,3,0,11,19,33,161,1,1
1165,486,389,0,389,36,4,4,14,0,18,47,67,193,2,4
1166,189,159,0,159,15,2,0,12,5,1,15,7,43,1,58
1167,4878,3143,10,3133,172,18,8,99,18,150,786,244,1610,24,4
1169,1057,535,7,528,1,0,486,1,0,0,4,2,25,2,7
1170,875,199,5,194,7,0,52,2,1,0,10,6,30,1,85
1171,507,356,0,356,32,0,5,11,2,5,23,63,210,2,3
1172,371,252,0,252,59,0,8,0,0,8,11,77,88,0,1
1173,129,96,0,96,11,0,0,2,1,2,48,1,21,10,0
1174,652,475,0,475,52,1,0,2,1,19,18,89,291,0,2
1175,296,180,1,179,24,0,0,3,1,8,10,21,89,0,23
1176,321,205,2,203,21,2,0,30,7,9,38,9,82,0,5
1177,322,219,0,219,39,0,0,10,0,7,32,19,108,3,1
1178,993,761,1,760,9,5,0,537,54,0,118,1,21,14,1
1179,627,474,0,474,56,0,2,3,3,15,34,105,256,0,0
1180,267,184,1,183,16,0,0,8,0,4,11,33,111,0,0
1181,926,681,3,678,65,2,1,30,15,58,135,34,334,2,2
1182,828,641,0,641,63,0,1,11,1,13,22,157,366,0,7
1183,449,333,1,332,44,0,21,9,4,0,9,155,86,1,3
1184,155,101,0,101,18,1,2,4,0,9,4,34,28,0,1
1186,1351,1062,0,1062,45,2,0,574,15,6,192,9,194,20,5
1188,608,475,0,475,90,4,1,106,1,20,49,31,172,0,1
1190,637,479,1,478,29,6,0,313,18,6,63,5,33,2,3
1191,606,421,0,421,0,37,0,136,55,0,124,0,3,60,6
1192,8377,4387,31,4356,38,2,3975,11,3,19,67,37,111,17,76
1195,240,83,0,83,6,0,4,12,0,8,13,2,35,0,3
1197,261,159,0,159,15,0,1,2,3,4,13,56,64,1,0
1198,211,231,0,231,33,0,1,37,1,0,62,29,64,3,1
1199,1490,1128,3,1125,64,4,1,39,3,71,201,37,699,2,4
1200,62167,47408,137,47271,3578,321,68,5223,581,2593,10791,2718,20289,904,205
1201,529,393,2,391,41,1,2,7,0,6,15,110,209,0,0
1202,358,263,0,263,24,0,0,5,0,9,24,55,144,0,2
1203,343,253,0,253,23,1,4,2,0,2,15,77,126,0,3
1204,889,664,0,664,48,0,0,16,0,44,78,75,400,1,2
1205,345,263,4,259,21,1,0,20,3,9,129,7,52,12,5
1206,201,137,5,132,10,0,1,2,2,29,29,17,42,0,0
1207,431,326,1,325,18,0,1,7,4,21,76,30,168,0,0
1208,483,341,0,341,49,0,1,7,1,11,27,73,168,2,2
1209,223,172,0,172,20,2,9,3,0,3,1,81,53,0,0
1210,350,254,0,254,47,1,1,7,0,8,26,21,140,3,0
1211,180,123,0,123,20,0,0,0,2,2,12,25,62,0,0
1212,139,103,1,102,9,0,3,5,0,3,12,18,51,1,0
1213,150,120,2,118,8,1,1,7,0,5,8,49,35,0,4
1214,245,199,0,199,1,2,0,81,12,1,84,0,1,16,1
1219,164,106,0,106,7,1,0,1,1,3,47,1,31,14,0
1220,195,135,0,135,13,0,0,2,1,2,3,48,64,2,0
1221,711,541,1,540,51,2,1,18,0,42,44,45,332,2,3
1222,716,547,0,547,59,1,1,24,1,16,42,70,329,4,0
1223,250,179,0,179,17,0,0,11,3,9,15,7,102,1,14
1224,7737,5825,12,5813,483,17,5,582,34,305,855,494,3002,23,13
1226,985,768,0,768,89,1,4,17,2,25,27,144,457,0,2
1227,332,246,3,243,16,2,0,16,7,11,72,2,84,3,30
1228,787,640,3,637,64,0,2,19,3,24,75,83,362,3,2
1229,186,154,0,154,2,4,0,17,5,1,105,0,1,17,2
1230,324,226,0,226,19,4,1,8,7,9,74,12,75,3,14
1231,164,115,0,115,10,0,0,13,0,2,23,1,28,1,37
1232,203,156,0,156,12,1,0,14,2,11,15,22,66,2,11
1233,277,222,0,222,30,0,0,9,2,7,30,21,108,0,15
1234,739,408,4,404,1,0,359,1,0,0,1,2,36,0,4
