town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,KF,L,MHL,MRZ,PA,SHS,OTHER
159,522,404,0,404,39,0,0,8,1,17,46,33,222,2,36
160,643,523,1,522,75,2,0,11,2,14,70,67,274,1,6
162,932,759,0,759,91,0,3,13,0,21,30,108,470,1,22
163,636,476,0,476,50,0,1,13,4,18,48,29,299,1,13
164,278,216,1,215,12,1,0,13,6,4,129,1,21,23,5
165,408,298,0,298,31,0,0,9,4,8,116,3,107,15,5
166,16360,12192,60,12132,702,66,11,674,223,807,4615,206,3962,761,105
167,694,555,0,555,89,0,1,1,0,4,9,179,271,1,0
168,15904,11619,51,11568,647,156,10,502,167,635,3937,348,4552,552,62
170,465,369,0,369,6,13,1,63,26,2,183,3,34,32,6
171,4991,3775,7,3768,327,16,0,178,35,134,908,159,1901,97,13
173,893,672,1,671,156,1,3,9,2,17,31,146,302,1,3
174,544,415,2,413,51,5,1,12,0,10,59,36,228,2,9
175,984,733,1,732,67,0,5,22,1,24,85,80,432,7,9
176,1082,715,3,712,180,1,2,11,2,19,33,76,377,2,9
177,868,681,1,680,59,9,2,9,5,21,58,74,380,6,57
178,828,562,1,561,88,2,2,10,4,20,30,96,307,0,2
182,9906,7512,12,7500,547,52,13,255,52,304,1584,572,3956,143,22
183,311,227,0,227,19,0,0,4,0,6,23,29,132,1,13
184,659,526,0,526,90,0,1,5,0,14,19,106,288,2,1
186,195,73,1,72,7,0,0,2,0,5,11,2,44,1,0
187,1051,810,0,810,96,0,5,12,1,13,44,119,494,1,25
188,516,345,1,344,84,0,0,9,7,17,49,26,146,3,3
189,376,302,0,302,3,3,0,208,13,3,50,1,19,0,2
190,1402,1059,2,1057,115,4,2,12,1,22,46,188,624,0,43
191,511,413,0,413,33,2,2,6,1,20,36,61,248,1,3
192,479,359,2,357,53,0,0,7,5,25,28,55,180,1,3
193,422,331,0,331,39,1,1,0,0,6,29,43,204,0,8
194,515,348,0,348,64,1,2,4,1,6,13,102,149,1,5
195,15422,11682,24,11658,736,57,17,398,128,618,2511,697,5815,618,63
196,260,207,0,207,27,2,1,9,2,8,23,23,110,0,2
197,738,568,1,567,68,1,2,5,0,6,15,230,237,1,2
198,804,593,0,593,61,3,1,5,1,14,38,84,346,1,39
199,647,476,0,476,97,0,0,19,1,16,53,32,256,0,2
200,303,193,0,193,16,0,4,2,0,5,12,31,120,0,3
202,249,190,0,190,17,0,0,2,1,6,12,28,122,0,2
204,467,353,1,352,12,1,0,37,11,8,163,9,84,23,4
205,506,401,0,401,50,0,0,9,4,7,20,66,242,0,3
206,1169,876,1,875,61,2,1,20,5,33,59,128,548,5,13
207,303,251,2,249,32,0,1,4,1,5,12,34,136,0,24
208,906,642,0,642,70,0,9,11,5,27,91,108,306,8,7
212,74,36,0,36,0,22,0,0,6,0,7,0,0,1,0
213,585,467,0,467,72,0,1,9,0,6,30,73,274,1,1
217,729,581,0,581,18,12,0,331,35,2,92,5,70,12,4
218,212,167,0,167,27,0,1,6,1,6,16,19,86,1,4
219,448,368,1,367,37,2,0,47,5,11,40,26,181,3,15
220,471,360,0,360,23,0,0,13,0,16,84,17,201,4,2
223,405,330,0,330,25,1,3,1,0,3,20,70,203,1,3
224,446,315,4,311,23,1,1,10,5,7,115,9,104,36,0
225,628,502,0,502,58,0,2,8,2,13,54,75,278,2,10
229,14410,11227,31,11196,755,264,20,537,114,461,2371,594,5169,881,30
230,687,539,4,535,30,5,1,28,3,18,90,39,274,8,39
232,984,757,2,755,145,1,8,7,0,13,23,141,413,0,4
233,484,395,1,394,40,0,0,5,3,5,30,46,263,0,2
234,883,695,0,695,70,4,0,15,4,12,67,46,355,3,119
235,344,216,2,214,17,0,1,2,3,11,43,24,99,11,3
237,552,436,0,436,46,1,2,0,1,19,6,163,196,0,2
239,542,433,0,433,48,1,3,9,1,17,37,46,263,0,8
240,17875,12414,75,12339,721,121,8,530,173,1707,4281,331,3914,465,88
241,1018,772,1,771,73,1,2,25,3,25,55,125,446,5,11
