town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,L,MHL,PA,SHS,OTHER
1112,611,488,1,487,175,0,11,9,5,15,269,1,2
4007,388,308,5,303,4,5,1,183,2,77,23,2,6
803,337,272,1,271,3,9,0,24,1,135,0,98,1
452,562,340,1,339,104,0,2,1,11,10,209,0,2
409,563,391,3,388,111,0,1,4,12,61,198,1,0
866,683,436,0,436,162,0,5,6,14,20,226,2,1
3607,205,160,1,159,2,5,0,64,8,71,2,1,6
811,473,383,0,383,17,1,0,22,2,269,29,38,5
753,621,463,0,463,43,14,2,30,9,170,183,9,3
2011,904,716,4,712,20,13,61,24,4,422,109,47,12
29,1252,893,4,889,92,3,1,61,21,218,479,10,4
440,317,290,0,290,0,274,0,5,1,4,0,5,1
575,533,391,0,391,82,1,1,4,13,42,246,0,2
1138,561,408,0,408,126,1,9,5,6,14,246,0,1
1044,171,140,1,139,23,2,3,3,0,29,76,2,1
795,557,403,2,401,17,3,5,13,11,188,70,91,3
499,13182,8705,55,8650,145,0,8211,2,14,105,95,25,53
3566,160,103,2,101,2,0,1,12,0,59,16,6,5
134,829,631,2,629,132,2,6,10,13,70,391,2,3
453,543,384,2,382,76,0,4,4,14,24,260,0,0
3749,684,529,1,528,0,144,0,186,1,58,1,13,125
759,578,444,0,444,17,3,0,16,4,307,56,37,4
417,545,427,3,424,144,0,7,2,7,12,252,0,0
3647,1211,1029,1,1028,2,13,0,606,2,348,13,20,24
241,1008,735,2,733,126,0,0,22,16,66,495,3,5
240,18074,12545,70,12475,636,151,27,471,1465,5176,3940,501,108
623,369,220,1,219,68,0,3,4,7,7,130,0,0
2026,285,213,0,213,10,0,0,11,3,134,39,14,2
831,7435,4993,52,4941,157,311,88,527,304,2350,532,645,27
3000,415991,263214,1625,261589,12919,63782,5321,20701,6183,72601,32800,44649,2633
718,790,562,4,558,20,5,1,30,6,319,139,36,2
502,10719,6444,119,6325,205,0,997,19,904,1860,1993,305,42
183,308,225,0,225,23,0,0,4,1,29,166,2,0
916,279,198,0,198,26,0,0,10,5,75,79,0,3
805,549,430,3,427,4,26,0,26,1,246,13,106,5
828,727,520,0,520,23,0,0,19,3,279,150,42,4
1227,340,257,5,252,17,1,0,15,10,113,85,6,5
504,8073,6660,17,6643,10,5,6577,0,0,12,7,6,26
505,2632,2132,5,2127,4,1,2112,0,0,3,7,0,0
576,845,601,1,600,146,0,7,8,9,30,399,0,1
1338,126,62,2,60,7,6,0,3,0,25,16,1,2
3564,1234,1002,0,1002,0,102,0,660,0,165,6,26,43
1224,7703,5775,10,5765,653,17,11,486,218,1096,3241,27,16
3779,4325,3532,16,3516,3,731,1,503,4,719,15,1450,90
824,701,519,5,514,70,0,0,14,7,100,318,3,2
1252,336,216,0,216,40,5,1,6,7,30,125,0,2
1210,352,256,0,256,41,0,3,5,4,32,166,5,0
1367,249,166,2,164,2,0,102,0,0,0,59,0,1
840,313,157,1,156,62,0,2,6,3,14,67,0,2
1153,124,92,2,90,21,2,0,3,1,9,54,0,0
1183,471,344,0,344,159,2,42,6,1,16,114,1,3
1229,187,155,0,155,0,4,0,19,0,114,2,14,2
1331,1054,663,4,659,0,0,631,1,0,2,10,10,5
1291,234,171,2,169,40,1,3,16,7,26,75,0,1
1201,536,398,2,396,103,2,4,8,4,19,250,1,5
4028,323,226,0,226,22,0,0,20,10,31,141,0,2
63,527,380,3,377,33,3,3,13,3,120,200,2,0
57,634,437,0,437,80,1,2,3,21,58,268,2,2
1059,8531,5198,27,5171,63,1,4871,4,9,23,141,12,47
859,277,213,0,213,11,1,1,6,3,129,16,44,2
1296,5682,3462,35,3427,363,1,288,59,477,1328,895,2,14
978,3689,2214,7,2207,227,0,1808,4,13,60,78,4,13
857,536,411,0,411,41,3,1,9,9,86,255,5,2
3638,2534,1917,6,1911,65,16,5,702,32,707,342,15,27
364,549,432,2,430,81,0,4,31,9,109,187,8,1
690,536,425,0,425,11,5,0,16,8,164,210,9,2
220,465,343,7,336,23,0,0,14,5,82,207,3,2
177,872,690,0,690,94,8,2,12,12,98,453,10,1
357,725,491,0,491,102,2,2,14,13,93,261,1,3
2010,539,415,1,414,82,0,1,9,13,94,207,3,5
633,2352,1796,9,1787,15,0,1758,0,0,5,8,0,1
132,370,287,0,287,33,3,0,4,6,75,164,2,0
106,184,134,0,134,1,50,0,4,0,36,13,26,4
427,94,49,1,48,4,1,0,1,5,19,18,0,0
310,284,214,0,214,59,0,6,4,6,14,124,0,1
76,565,360,1,359,63,0,1,5,10,26,252,2,0
707,488,363,1,362,57,4,1,3,8,45,244,0,0
3796,1623,1178,1,1177,138,9,2,46,31,203,738,4,6
192,476,353,2,351,87,1,3,8,17,34,201,0,0
254,307,215,0,215,40,0,0,1,6,15,152,0,1
582,779,599,1,598,49,2,1,17,17,126,377,5,4
443,712,373,2,371,88,0,7,6,5,28,232,2,3
187,1052,801,0,801,147,0,10,8,10,60,563,0,3
217,741,580,2,578,16,9,1,315,1,157,57,14,8
888,579,470,1,469,59,0,4,20,9,86,286,5,0
190,1399,1064,4,1060,206,3,7,15,18,52,756,1,2
320,815,628,0,628,66,1,1,14,11,94,427,10,4
1263,4632,3242,11,3231,490,5,50,95,127,527,1906,18,13
786,474,356,0,356,3,6,0,24,0,248,38,32,5
696,4163,2842,4,2838,9,1113,2,204,5,736,8,617,144
609,577,427,1,426,12,6,0,14,5,247,57,80,5
255,508,344,0,344,24,0,0,11,6,144,151,6,2
193,430,347,1,346,51,1,2,3,4,29,255,1,0
1297,525,384,1,383,33,5,2,35,13,176,105,13,1
112,519,389,0,389,24,20,0,69,11,101,147,14,3
889,204,155,1,154,2,3,0,33,4,65,43,3,1
4004,400,236,0,236,44,0,2,1,3,26,160,0,0
673,572,438,1,437,31,2,2,20,11,131,231,6,3
507,7927,5562,32,5530,116,0,5091,0,57,97,134,20,15
233,487,398,0,398,61,0,2,5,2,35,291,0,2
140,830,673,4,669,110,0,1,28,16,56,457,0,1
168,16493,12146,62,12084,606,136,17,466,512,4820,4829,623,75
85,727,595,2,593,72,3,3,12,15,66,413,3,6
170,474,379,3,376,4,18,1,48,2,227,27,48,1
508,2597,1099,4,1095,139,1,155,1,16,21,754,0,8
509,14685,10431,83,10348,296,1,9787,5,37,73,65,62,22
387,628,461,0,461,53,1,9,4,5,48,341,0,0
1095,434,351,1,350,7,3,0,203,0,107,17,4,9
98,281,223,0,223,37,0,1,7,8,33,134,0,3
510,12686,8957,74,8883,41,0,7656,6,5,20,193,916,46
274,888,667,2,665,195,1,6,8,12,49,392,2,0
297,599,409,0,409,124,0,1,7,17,15,245,0,0
512,1812,1179,2,1177,38,1,1060,1,0,7,20,44,6
764,461,363,1,362,56,1,1,3,9,36,253,2,1
316,716,566,2,564,72,0,1,9,15,88,372,5,2
345,502,378,1,377,94,0,2,6,5,23,243,0,4
6900,80780,58330,220,58110,5514,421,265,2296,2754,15881,28897,1731,351
107,87,34,0,34,4,0,0,1,1,9,18,0,1
249,972,777,0,777,81,0,5,24,22,111,529,5,0
845,727,532,0,532,116,0,5,18,10,36,343,1,3
3488,473,369,2,367,6,4,0,217,1,97,37,1,4
189,381,315,2,313,1,8,0,193,1,72,26,4,8
634,15139,11185,72,11113,725,6,10192,6,0,44,75,10,55
388,442,321,3,318,26,1,2,18,10,61,196,1,3
654,12877,9264,32,9232,70,1,8915,3,2,112,34,42,53
579,1001,721,3,718,129,0,2,28,10,170,369,6,4
1130,220,149,0,149,7,1,0,5,2,101,26,7,0
295,394,263,0,263,45,1,0,9,9,24,175,0,0
1166,185,149,1,148,14,3,0,13,3,27,81,4,3
605,335,263,0,263,11,13,1,30,1,143,13,45,6
743,590,497,2,495,54,1,4,10,12,95,314,3,2
267,1904,1238,3,1235,113,6,5,22,33,222,823,6,5
47,3362,2439,2,2437,211,5,14,120,75,678,1296,27,11
3572,622,486,1,485,0,25,0,197,1,183,1,23,55
1285,462,292,0,292,39,0,0,7,5,68,171,2,0
664,406,296,1,295,4,6,0,37,0,183,49,13,3
1094,157,144,0,144,1,30,0,101,0,4,0,8,0
580,654,502,1,501,88,1,4,20,3,60,319,3,3
1085,145,82,1,81,13,3,4,20,2,17,21,1,0
1264,1413,1079,0,1079,149,6,5,29,31,144,709,4,2
3766,554,443,1,442,1,24,0,297,1,104,0,8,7
1374,246,213,0,213,0,1,0,180,1,26,0,1,4
1139,41328,24537,167,24370,822,807,468,739,5098,8879,6627,738,192
768,459,344,0,344,80,0,4,6,5,75,171,0,3
1198,215,168,1,167,43,0,2,34,0,19,68,0,1
3656,265,216,0,216,1,14,0,155,0,41,1,1,3
1207,447,333,0,333,33,2,3,7,13,90,184,1,0
585,535,382,2,380,13,3,0,204,2,90,53,11,4
1230,322,240,0,240,23,0,1,15,4,92,97,7,1
2023,494,338,3,335,119,0,3,3,5,13,192,0,0
380,694,496,2,494,147,2,11,8,19,42,260,1,4
715,609,470,1,469,111,1,4,5,7,22,316,2,1
1271,4957,3753,6,3747,440,10,68,140,103,982,1970,27,7
7000,55743,34612,292,34320,553,904,7170,1941,3566,13356,3633,2831,366
52,458,357,1,356,24,4,3,22,4,156,76,59,8
595,537,415,0,415,101,0,1,5,8,39,259,0,2
1171,501,357,1,356,74,1,14,6,6,34,214,1,6
1255,158,87,0,87,41,1,2,2,4,6,31,0,0
674,543,389,3,386,28,1,0,19,11,126,194,6,1
24,579,462,0,462,111,0,1,16,5,32,295,0,2
1310,1806,1331,1,1330,172,2,12,48,40,302,737,7,10
1173,130,95,0,95,9,0,0,0,0,53,27,6,0
1060,7663,3797,24,3773,31,0,3667,3,4,4,28,7,29
2055,918,711,2,709,78,3,2,45,8,216,322,30,5
102,112,54,2,52,3,0,0,0,7,17,24,0,1
771,613,462,0,462,45,4,1,34,19,189,164,4,2
3569,290,210,2,208,4,10,0,43,4,103,15,8,21
3709,1136,1007,2,1005,3,126,0,638,0,133,6,74,25
4204,402,266,0,266,63,0,1,3,6,13,176,2,2
1141,177,99,1,98,2,12,0,25,0,34,11,11,3
1080,925,669,2,667,41,6,2,32,13,368,152,48,5
829,389,240,0,240,7,2,0,20,5,136,40,24,6
573,369,284,2,282,8,3,0,17,2,135,99,17,1
1015,18944,13589,30,13559,1459,90,81,633,345,5412,4672,757,110
516,10360,7951,24,7927,18,3,7820,4,0,14,15,21,32
4201,900,164,1,163,8,0,9,2,5,29,109,0,1
481,16044,8706,83,8623,316,1,4615,29,505,320,2129,635,73
689,788,572,1,571,43,6,0,15,7,202,267,29,2
65,1404,936,2,934,28,31,7,45,25,522,110,158,8
874,21246,13528,86,13442,275,502,5,367,2335,6093,1688,2072,105
3561,259,164,1,163,0,0,0,113,0,38,8,1,3
3751,247,182,1,181,2,0,0,107,4,41,21,1,5
586,634,472,0,472,113,0,2,8,12,44,292,1,0
375,807,627,1,626,141,1,3,13,2,24,440,0,2
695,463,333,0,333,120,0,6,1,9,12,183,0,2
1155,386,315,0,315,11,1,0,14,9,189,78,10,3
722,676,532,2,530,52,6,0,9,9,100,350,2,2
2029,561,412,1,411,15,10,0,17,11,227,102,25,4
1140,1140,804,2,802,276,0,14,18,15,84,389,1,5
3797,28796,24027,374,23653,6,18926,3,33,5,265,10,4328,77
1200,62927,47859,149,47710,4176,313,127,4722,1907,13490,21744,939,292
269,817,601,0,601,85,2,1,14,13,56,425,3,2
208,907,662,1,661,134,1,10,12,15,110,370,7,2
635,2571,1558,6,1552,5,0,1525,0,0,5,11,0,6
1163,334,252,0,252,48,0,0,2,12,28,160,1,1
1178,1000,763,2,761,7,4,0,490,1,202,25,15,17
606,810,618,2,616,63,1,3,16,14,80,437,2,0
28,10540,8116,37,8079,659,40,14,534,257,2646,3678,196,55
104,687,498,1,497,156,2,1,5,3,18,309,0,3
517,2911,2238,10,2228,16,0,2183,1,0,4,11,4,9
3599,339,256,0,256,0,4,0,161,0,72,10,3,6
1411,127,99,0,99,5,0,0,12,1,13,67,0,1
1418,155,96,0,96,10,1,0,9,1,31,43,1,0
1413,132,95,1,94,7,0,0,4,3,33,43,3,1
1416,114,74,0,74,2,0,0,3,2,13,51,2,1
1415,203,164,1,163,9,0,0,25,4,46,78,0,1
1414,105,83,1,82,7,0,1,7,2,17,46,2,0
1412,187,141,1,140,9,0,0,8,4,44,73,2,0
308,573,394,1,393,72,3,0,6,16,87,201,5,3
776,318,261,0,261,5,9,0,8,1,158,24,52,4
43,1432,866,4,862,117,0,6,45,45,168,458,9,14
822,545,399,1,398,74,3,7,25,6,179,96,7,1
1128,255,198,2,196,61,1,8,2,2,9,111,0,2
2054,373,289,1,288,3,1,0,30,3,195,41,13,2
649,1326,842,5,837,6,0,819,3,0,5,4,0,0
4019,125,90,0,90,13,0,2,5,3,8,57,0,2
1282,385,297,0,297,3,3,0,181,0,84,18,5,3
607,453,297,1,296,1,79,0,92,0,46,13,59,6
731,474,382,0,382,40,0,6,4,10,63,253,3,3
1268,7161,5320,15,5305,457,19,54,557,160,1699,2265,65,29
3614,135,96,1,95,5,1,0,4,8,40,37,0,0
1343,430,248,4,244,12,0,216,0,0,4,6,2,4
382,1045,694,4,690,129,0,6,11,13,51,473,3,4
1202,370,270,0,270,54,0,2,8,7,32,164,0,3
164,276,234,2,232,6,1,0,8,1,163,22,29,2
2044,275,219,0,219,4,4,0,13,4,152,9,28,5
596,427,257,0,257,82,0,2,8,3,14,144,3,1
2030,427,342,0,342,5,3,0,22,0,233,29,43,7
1174,654,460,0,460,101,1,1,5,15,21,316,0,0
1205,350,265,0,265,20,0,0,12,4,156,59,13,1
48,927,603,3,600,31,20,0,19,17,312,164,22,15
347,212,142,1,141,46,0,1,1,7,4,80,0,2
994,852,593,1,592,46,0,517,0,0,2,23,0,4
1258,370,266,0,266,73,2,0,11,3,30,141,0,6
263,271,172,0,172,39,0,4,2,5,15,105,2,0
298,430,278,0,278,79,0,0,1,10,12,176,0,0
742,696,560,1,559,90,4,5,23,8,122,282,22,3
748,498,372,1,371,18,5,0,22,10,180,104,27,5
4203,354,79,1,78,8,0,7,0,1,14,46,2,0
939,7394,4424,34,4390,4,0,4326,0,1,5,26,3,25
197,744,564,0,564,249,2,6,5,2,21,278,1,0
1082,1058,862,4,858,8,33,0,153,3,505,16,133,7
678,328,219,1,218,29,0,0,5,14,29,139,2,0
694,1702,1116,1,1115,363,0,9,15,24,34,658,4,8
272,487,300,0,300,65,0,3,4,2,26,199,0,1
3657,301,215,0,215,0,9,0,159,1,31,1,0,14
570,652,465,3,462,25,1,0,17,11,244,148,14,2
9999,0,330209,2507,327702,24137,13387,18077,27357,12815,107049,97828,23264,3788
518,2552,1831,4,1827,89,1,1587,0,44,9,77,13,7
416,479,336,2,334,78,0,2,4,14,51,185,0,0
290,668,481,3,478,116,2,2,5,8,42,299,2,2
3616,28027,19967,93,19874,316,355,13,2329,1151,11789,2181,1486,254
3608,1108,590,1,589,15,37,2,97,43,292,81,12,10
1127,360,290,0,290,26,3,1,126,1,43,86,2,2
4008,398,295,2,293,38,0,1,13,6,39,192,1,3
286,592,413,0,413,123,0,3,9,4,21,247,0,6
3752,431,339,1,338,0,25,0,188,2,85,1,13,24
3651,955,748,1,747,0,19,0,415,1,236,11,37,28
1327,9896,6068,26,6042,20,0,5951,3,0,10,13,8,37
3653,364,279,0,279,1,151,0,58,0,28,2,31,8
3637,572,432,1,431,4,9,0,128,14,217,36,14,9
1063,18341,11674,80,11594,265,143,2755,570,2142,3768,1203,669,79
344,552,447,0,447,160,0,12,4,6,29,234,0,2
230,686,532,1,531,43,3,1,21,13,116,322,8,4
668,677,481,1,480,109,0,4,18,14,44,289,1,1
3745,329,253,1,252,3,6,0,191,2,35,4,8,3
325,845,576,1,575,63,1,4,15,13,133,336,7,3
757,978,744,2,742,24,2,0,23,19,438,184,41,11
58,130,92,0,92,12,0,0,1,3,26,49,0,1
1222,730,546,0,546,88,1,7,25,7,66,345,6,1
1370,229,204,0,204,0,2,0,147,0,40,12,0,3
3576,1317,1045,2,1043,6,51,0,539,1,318,3,63,62
1190,637,471,2,469,11,4,1,291,3,95,49,6,9
99,3688,2131,21,2110,281,140,48,203,204,789,349,64,32
3610,251,187,1,186,29,1,0,41,4,39,71,0,1
648,430,299,0,299,158,0,4,1,0,6,129,0,1
22,151,104,0,104,10,0,1,6,1,30,54,1,1
843,342,196,0,196,32,4,1,4,3,95,43,10,4
4101,576,406,1,405,54,0,1,6,9,51,282,0,2
1340,202,177,1,176,2,5,0,113,1,35,8,8,4
97,572,434,0,434,42,6,4,11,12,91,260,6,2
66,918,662,4,658,114,0,3,20,41,171,301,3,5
1098,1429,1152,1,1151,7,32,0,591,1,346,47,116,11
421,466,296,0,296,100,1,2,7,18,13,150,1,4
765,500,392,0,392,44,0,1,8,6,92,240,0,1
378,259,169,1,168,59,0,1,2,11,8,87,0,0
520,5592,3790,17,3773,16,0,3697,0,1,26,17,5,11
3605,155,105,0,105,3,0,0,21,4,41,36,0,0
620,463,385,2,383,7,4,1,262,3,51,54,0,1
3785,172,125,0,125,1,8,0,63,0,35,6,11,1
670,396,308,0,308,30,0,0,12,14,86,157,7,2
563,516,440,1,439,59,0,4,12,25,69,267,1,2
732,539,410,0,410,31,4,0,15,10,214,114,11,11
395,794,532,1,531,161,0,0,13,15,59,279,0,4
130,951,715,0,715,322,1,4,4,3,17,364,0,0
729,708,527,2,525,41,4,1,5,17,180,273,2,2
194,515,349,0,349,96,1,3,4,4,18,221,1,1
213,605,494,0,494,98,0,2,11,9,35,337,1,1
425,659,524,1,523,65,3,1,8,13,48,381,0,4
791,709,569,2,567,14,9,0,42,10,370,61,58,3
1315,2562,1936,5,1931,249,2,1,47,66,333,1215,13,5
1184,159,104,0,104,47,3,5,1,4,9,35,0,0
3648,492,363,3,360,1,305,0,9,0,21,0,22,2
4551,423,289,1,288,22,0,1,17,18,59,168,1,2
1124,221,136,1,135,29,0,0,5,0,22,79,0,0
408,513,365,1,364,62,1,0,12,15,33,235,4,2
1197,260,150,1,149,28,0,1,1,1,16,101,1,0
524,1469,1045,6,1039,55,0,957,0,1,3,20,0,3
396,730,558,0,558,19,5,7,45,13,193,257,13,6
315,696,478,1,477,128,0,1,4,21,38,283,0,2
3724,142,123,1,122,0,2,0,78,0,22,1,3,16
309,952,729,2,727,25,9,0,40,7,390,162,89,5
80,743,563,2,561,94,0,1,13,8,47,394,1,3
9100,50929,31941,192,31749,1097,195,200,1082,3951,15189,7817,1998,220
4304,503,391,0,391,1,6,0,221,1,123,25,4,10
55,409,297,0,297,17,3,0,9,7,186,53,18,4
3573,756,579,1,578,1,14,0,337,1,191,7,15,12
1366,321,276,4,272,0,140,0,88,0,30,1,11,2
590,342,241,0,241,60,0,0,8,5,24,141,2,1
4303,163,98,0,98,10,0,0,11,1,22,50,1,3
405,696,486,2,484,81,1,4,11,9,107,266,4,1
296,191,125,0,125,33,0,0,4,2,18,65,3,0
3725,1539,1161,6,1155,3,25,0,701,4,350,30,9,33
1057,55,21,0,21,3,0,1,1,0,9,5,0,2
1314,532,401,3,398,28,1,2,19,13,138,172,15,10
312,210,158,0,158,16,0,0,6,2,60,70,2,2
686,1000,737,2,735,40,5,1,27,17,382,206,51,6
858,848,671,1,670,55,1,2,26,21,93,465,5,2
827,454,358,0,358,51,3,1,12,5,64,218,4,0
1071,467,381,2,379,8,15,2,36,2,222,37,55,2
1259,225,171,0,171,46,0,117,0,0,0,8,0,0
15,313,235,1,234,1,2,0,5,0,175,7,42,2
1333,1683,1380,1,1379,11,73,1,943,2,229,26,64,30
1061,39579,22433,280,22153,532,550,5473,344,4455,7448,2614,492,245
3790,529,398,3,395,2,2,0,86,12,247,26,10,10
1284,2028,1540,1,1539,163,5,5,35,45,253,1019,7,7
257,389,325,0,325,19,1,3,11,5,159,100,23,4
3726,1191,886,1,885,10,20,1,332,66,378,24,30,24
447,1550,1183,8,1175,99,5,1,39,27,255,727,14,8
833,111,93,0,93,7,2,1,6,1,31,41,2,2
59,791,619,1,618,8,11,0,312,1,198,51,26,11
844,352,251,1,250,73,0,1,7,1,22,144,1,1
2045,474,389,4,385,13,9,2,30,4,181,78,67,1
3767,332,252,0,252,2,63,2,62,0,49,0,58,16
449,904,764,1,763,7,16,1,442,5,201,68,13,10
809,418,333,1,332,8,10,1,32,4,206,23,42,6
522,8471,6028,21,6007,43,10,5856,6,0,15,19,31,27
433,529,399,4,395,82,0,2,3,4,21,279,0,4
777,467,347,3,344,145,0,11,2,4,14,165,1,2
705,352,246,1,245,89,0,0,1,5,16,129,1,4
1147,243,185,0,185,6,0,0,8,5,96,35,35,0
4014,250,188,2,186,13,0,2,61,1,49,53,2,5
1369,245,218,2,216,0,9,0,180,0,17,4,5,1
174,561,428,1,427,65,5,5,13,9,73,254,3,0
1254,345,246,0,246,111,0,15,4,1,2,113,0,0
523,1345,881,4,877,210,0,632,0,1,5,24,0,5
3655,1130,837,3,834,42,3,1,87,59,350,279,7,6
351,1411,1130,1,1129,13,23,1,453,2,510,33,70,24
1419,583,420,3,417,4,7,0,75,0,259,22,37,13
1195,204,66,1,65,6,0,5,11,3,14,25,1,0
1280,205,129,0,129,22,0,0,10,11,26,60,0,0
851,743,572,1,571,66,1,3,21,13,212,240,12,3
359,343,254,2,252,78,2,0,2,3,7,160,0,0
808,417,302,1,301,94,0,1,2,7,20,174,0,3
553,605,443,0,443,73,4,1,5,5,45,308,0,2
720,643,547,0,547,9,10,1,280,2,170,36,35,4
256,619,471,1,470,170,1,2,6,8,19,261,0,3
11,404,271,0,271,29,0,1,15,18,84,114,7,3
165,423,326,1,325,18,0,0,8,3,150,124,20,2
402,563,361,1,360,185,1,9,2,12,4,145,2,0
699,592,459,0,459,41,4,1,17,12,120,257,5,2
2047,417,292,2,290,49,2,0,13,6,84,126,9,1
69,329,244,2,242,100,0,3,4,6,14,113,1,1
348,402,260,0,260,69,1,0,10,8,36,134,1,1
769,411,320,0,320,10,7,1,162,3,71,53,7,6
2048,494,383,0,383,26,27,0,62,5,108,108,43,4
331,900,673,1,672,93,5,6,12,18,88,445,2,3
602,379,262,0,262,106,0,5,1,9,21,115,2,3
1236,836,645,1,644,104,1,2,14,8,59,451,2,3
825,786,597,1,596,46,7,4,33,9,266,206,24,1
1143,229,187,0,187,23,0,8,5,4,38,109,0,0
7200,33856,25604,104,25500,2051,159,66,730,890,7666,12945,866,127
186,174,73,0,73,5,0,0,1,10,16,39,1,1
3787,1214,930,3,927,33,8,1,86,61,442,273,11,12
3713,145,88,0,88,2,0,0,9,3,32,40,2,0
158,1309,999,2,997,322,0,5,24,15,43,583,1,4
1041,320,177,0,177,2,0,174,0,0,0,1,0,0
1372,261,227,0,227,0,18,0,113,0,69,4,13,10
435,608,504,1,503,149,0,4,5,8,18,313,4,2
7300,57757,34849,205,34644,269,6,33145,15,123,348,509,46,183
2500,19794,12661,82,12579,499,82,66,274,2035,4952,4034,572,65
3555,233,167,1,166,46,0,2,5,6,44,60,0,3
693,462,351,2,349,110,0,4,5,12,10,206,1,1
1242,686,524,0,524,51,1,2,45,13,117,287,5,3
792,402,307,0,307,16,1,1,6,4,127,135,16,1
246,23763,18143,88,18055,126,1447,6,866,1035,6596,614,7182,183
7400,184613,110399,636,109763,3265,3602,109,5172,10288,47267,25906,13241,913
525,3024,1428,7,1421,465,129,78,6,95,283,341,20,4
578,421,292,1,291,132,0,3,1,5,9,141,0,0
587,3874,2607,4,2603,213,17,21,69,98,588,1574,18,5
2046,425,327,0,327,37,0,0,5,7,89,184,5,0
942,150,84,2,82,8,0,70,0,0,0,4,0,0
526,2012,1338,3,1335,27,2,1268,0,0,0,32,1,5
3756,674,527,1,526,1,12,0,372,0,104,3,11,23
1238,186,110,1,109,25,1,0,3,3,9,65,2,1
7500,21624,17136,51,17085,257,9,16610,1,4,39,120,11,34
1170,898,277,1,276,10,0,233,0,0,19,11,0,3
1245,2252,1422,10,1412,5,0,1234,0,4,22,108,22,17
3567,769,629,1,628,63,1,2,16,10,83,451,0,2
1156,230,147,0,147,75,0,5,0,2,3,62,0,0
3777,259,236,0,236,1,3,0,185,0,35,10,2,0
419,623,456,6,450,33,3,1,216,0,80,106,8,3
1360,937,399,1,398,4,1,356,0,6,4,17,4,6
454,623,437,0,437,82,1,4,8,13,85,242,2,0
1176,332,197,1,196,17,3,0,23,12,64,72,2,3
610,809,631,2,629,85,5,0,22,23,95,393,3,3
4501,1707,677,8,669,168,0,96,1,12,148,44,183,17
892,521,379,4,375,14,4,0,6,6,232,49,57,7
376,673,514,0,514,173,2,3,0,17,17,296,3,3
794,302,242,0,242,10,14,1,2,1,160,17,35,2
1199,1491,1110,1,1109,62,3,0,43,31,227,735,6,2
2035,295,235,0,235,21,0,3,2,4,48,155,1,1
826,366,289,1,288,0,11,0,28,0,146,10,93,0
528,2014,1283,4,1279,36,0,1223,0,0,2,8,7,3
737,761,571,0,571,65,4,1,21,8,118,339,10,5
666,6407,4672,6,4666,515,18,56,189,130,1409,2297,31,21
810,395,299,1,298,51,3,5,12,6,80,136,1,4
3617,1892,1428,2,1426,6,28,0,912,3,415,19,13,30
32,428,364,2,362,9,6,0,5,1,145,9,187,0
957,292,174,0,174,4,0,168,0,0,0,1,0,1
1149,626,483,0,483,38,1,0,14,9,175,210,31,5
837,608,499,0,499,10,12,0,60,3,319,44,46,5
711,777,644,4,640,14,5,0,22,8,436,96,57,2
817,949,746,2,744,22,2,0,20,11,499,122,64,4
969,110,31,0,31,0,0,30,0,0,1,0,0,0
3658,299,237,0,237,1,5,0,174,0,46,1,1,9
1175,298,173,1,172,28,0,0,6,3,24,110,0,1
530,4158,2922,10,2912,205,3,2281,0,59,107,219,26,12
156,115,50,0,50,6,0,1,4,1,17,21,0,0
511,5255,3301,20,3281,11,0,3220,3,0,8,6,4,29
687,744,546,0,546,83,2,5,17,12,75,349,1,2
546,639,350,7,343,19,0,24,8,85,32,173,0,2
273,482,322,0,322,79,0,1,4,4,41,188,0,5
2042,482,316,3,313,87,0,5,6,4,33,173,2,3
436,907,567,1,566,180,0,4,7,17,32,324,0,2
1240,725,538,1,537,63,0,0,35,17,93,321,5,3
74,496,351,1,350,92,1,9,8,5,16,218,1,0
167,710,545,2,543,224,0,5,2,5,13,293,1,0
289,703,543,0,543,230,0,1,3,3,17,285,1,3
383,434,331,0,331,19,3,2,193,1,59,49,2,3
367,590,473,2,471,25,2,0,7,2,324,85,22,4
270,885,527,0,527,232,1,2,4,12,21,252,3,0
676,311,187,1,186,32,0,3,3,12,17,118,1,0
157,1088,848,3,845,105,4,4,9,23,61,635,1,3
4503,281,187,0,187,28,0,0,6,13,29,110,0,1
1320,194,137,0,137,0,0,136,0,0,0,1,0,0
89,517,378,2,376,67,1,1,5,8,25,269,0,0
82,684,496,0,496,125,4,0,16,11,35,300,0,5
806,537,386,0,386,46,0,6,7,6,20,301,0,0
813,712,563,1,562,36,3,1,43,18,281,134,43,3
426,525,405,0,405,107,0,1,4,16,29,245,2,1
532,9058,6608,33,6575,33,1,6428,7,1,35,15,12,43
521,1680,955,18,937,12,0,802,2,0,28,75,3,15
223,398,320,1,319,57,2,3,2,2,27,226,0,0
622,446,359,2,357,17,5,0,190,0,69,68,6,2
4502,146,16,0,16,0,0,0,0,0,8,8,0,0
514,657,373,13,360,16,3,308,2,5,3,23,0,0
139,588,427,0,427,163,0,2,1,10,19,226,2,4
880,1102,818,4,814,82,10,1,22,14,278,371,33,3
1251,147,95,0,95,4,0,0,7,2,26,55,0,1
871,575,474,0,474,126,0,2,3,7,36,295,0,5
7600,42009,26526,172,26354,395,140,7805,672,2579,10389,2283,1918,173
1146,346,265,0,265,9,1,0,141,3,69,39,1,2
3765,2154,1658,4,1654,5,98,1,941,17,497,13,58,24
3727,1610,1356,0,1356,4,12,1,857,10,394,39,21,18
