town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,L,MHL,PA,SHS,OTHER
176,1086,733,2,731,213,0,7,10,13,46,433,3,6
313,507,388,3,385,78,0,4,9,6,23,263,2,0
3650,7271,5481,11,5470,52,95,3,2884,18,1902,300,102,114
701,452,335,0,335,31,3,0,8,12,132,141,6,2
3598,124,86,0,86,1,0,0,2,1,52,24,4,2
714,441,316,3,313,103,0,1,6,10,21,171,1,0
3570,15146,9694,88,9606,119,112,10,950,1827,5033,1242,180,133
1324,123,72,1,71,10,0,1,1,3,15,41,0,0
71,420,322,4,318,14,2,0,19,6,178,65,31,3
70,179046,118313,694,117619,2109,13731,64,3124,19414,43073,18374,16994,736
199,658,471,0,471,86,0,1,19,13,55,291,1,5
188,520,362,0,362,73,0,0,20,17,58,191,2,1
1188,620,467,1,466,91,2,2,100,17,79,169,2,4
3722,338,250,0,250,12,1,0,18,13,125,77,2,2
2021,114,73,0,73,7,0,0,10,3,26,27,0,0
1152,409,300,1,299,40,3,2,22,18,82,127,3,2
7100,114443,72538,466,72072,1592,1268,70,3001,11627,34677,11749,7378,710
1256,429,310,1,309,19,4,1,12,19,176,66,11,1
740,749,605,2,603,35,20,1,29,7,306,101,97,7
6000,19193,11879,67,11812,65,0,11553,11,0,21,73,29,60
21,593,446,1,445,34,2,6,12,38,139,197,16,1
1376,904,759,2,757,8,15,0,173,3,411,43,88,16
155,808,643,2,641,76,0,2,14,11,76,453,8,1
2530,16522,12689,54,12635,453,191,15,393,515,5490,4489,1007,82
9000,161968,100051,785,99266,3329,1360,770,4442,11804,49801,17984,8860,916
450,396,280,5,275,13,2,2,126,3,57,66,1,5
697,700,543,1,542,70,4,2,21,13,77,349,2,4
399,852,669,0,669,291,1,9,9,14,27,318,0,0
559,713,551,1,550,46,0,0,9,11,182,279,20,3
482,6562,4323,26,4297,114,1,4007,5,0,26,118,9,17
4001,567,76,0,76,12,0,2,16,4,18,20,3,1
698,803,617,0,617,48,0,3,13,12,131,392,16,2
2043,591,461,0,461,85,0,4,7,12,37,315,1,0
762,609,476,3,473,5,7,0,32,2,300,34,90,3
234,889,715,4,711,74,4,2,14,12,107,494,2,2
998,6487,3582,21,3561,163,0,2876,3,8,140,349,3,19
1348,1213,924,3,921,0,0,910,0,0,0,1,0,10
368,596,429,0,429,10,18,0,29,3,261,36,68,4
317,321,208,1,207,50,1,1,4,1,22,125,0,3
3574,3360,2692,9,2683,4,176,2,1811,3,525,5,73,84
562,1047,825,2,823,73,6,3,18,20,246,438,10,9
95,598,416,1,415,101,0,4,9,7,21,265,5,3
3652,3633,2648,7,2641,59,24,1,238,109,1453,631,95,31
480,8713,4311,34,4277,948,5,432,3,586,316,1950,7,30
619,290,230,1,229,68,0,3,1,1,9,145,0,2
571,774,608,0,608,6,17,1,277,7,206,54,31,9
466,5109,3832,19,3813,139,61,4,167,103,1996,995,319,29
723,575,471,2,469,2,17,0,30,1,366,2,45,6
373,538,426,2,424,69,1,3,5,15,51,275,2,3
322,559,390,3,387,63,0,0,3,6,37,274,3,1
572,501,337,0,337,113,0,3,1,14,18,186,0,2
3645,175,142,0,142,5,0,0,28,10,55,41,3,0
242,1045,761,5,756,146,2,1,22,11,62,508,2,2
353,113,74,1,73,19,0,1,0,1,3,41,1,7
710,1185,875,0,875,198,8,8,57,14,170,401,14,5
143,603,372,0,372,117,1,2,4,5,20,221,0,2
3575,826,689,2,687,6,12,0,274,10,310,26,43,6
877,610,470,1,469,103,0,4,3,3,8,346,0,2
2033,455,378,2,376,1,349,0,7,0,9,2,8,0
159,521,402,0,402,52,0,2,8,10,60,268,2,0
800,612,461,0,461,48,1,3,10,21,59,311,5,3
1050,1486,1122,0,1122,83,2,1,35,26,431,520,18,6
288,713,536,2,534,85,2,1,13,7,65,357,1,3
265,367,251,1,250,9,1,0,7,0,179,17,34,3
200,297,192,0,192,31,0,5,1,1,16,138,0,0
326,1631,1252,1,1251,138,4,5,26,27,135,908,4,4
430,630,456,0,456,69,1,4,9,4,64,300,3,2
751,364,267,1,266,2,28,0,69,0,113,15,35,4
784,622,471,4,467,63,2,3,14,5,166,205,5,4
16,440,343,0,343,142,0,3,2,4,10,179,1,2
672,472,359,0,359,48,2,4,13,9,118,143,20,2
202,250,187,0,187,30,0,1,0,3,22,131,0,0
